Leader ,Image Name,Role,Bio,Wiki
Sojour Truth,"Truth1.jpg, Truth2.jpg",Abolitionist & Womens Rights Activist  ,"Born into slavery in Ulster county, New York, but escaped with her daughter to freedom in 1826. Her best-known extemporaneous speech on gender inequalities, ""Ain't I a Woman?"", was delivered in 1851 at the Ohio Women's Rights Convention in Akron, Ohio.",http://en.wikipedia.org/wiki/Sojourner_Truth
Rosa Parks ,"Rosa Park1.jpg, Rosapark2.jpg, RosaPark3.jpg",Civil Rights Activist,"On December 1, 1955, Rosa Parks sparked a pivoting point in US History when she refused to obey bus a driver's order that she give up her seat in the colored section to a white passenger.",http://en.wikipedia.org/wiki/Rosa_Parks
Queen Elizabeth II,"Queen1.jpg, Queen2.jpg",Monarch,"Elizabeth II has quietly become one of the longest-reigning monarchs in English history. In addition, Elizabeth II has started new trends toward modernization and openness in the royal family. 


",http://en.wikipedia.org/wiki/Queen_Elizabeth_II
Sally Ride,"Sally1.jpg, Sally2.jpg, Sally3.jpg",America Physicist & Astronaut,"On June 18, 1983 Sally Ride became the first American woman in space aboard the space shuttle Challenger. As a mission specialist, she helped deploy satellites and worked other projects.",http://en.wikipedia.org/wiki/Sally_Ride
Hedy Lamarr,"Hedylamarr1.jpg, HedyLamarr2.jpg",Inventor and Actress,Austrian actress who became a pioneer in the field of wireless communication following her emigration to the United States.Helped develop a secret communication system to help combat the Nazis ,http://en.wikipedia.org/wiki/Hedy_Lamarr
Coco Chanel,"Coco1.jpg, Coco2.jpg",Business Woman and Fashion Desinger,Chanel was raised in orphanages where she was taught to sew. She had a brief career as a singer before opening her first clothes shop in 1910. In the 1920s she becameone of 20th centuries best knows fashion desingers. ,http://en.wikipedia.org/wiki/Coco_Chanel
Christian Amanpour,"Christian1.jpg, Christian2.jpg",Journalist ," Award winning television news reporter, she is considered one of today's leading news correspondents. Christiane Amanpour has covered many of the world's most dangerous conflicts and devastating events.",http://en.wikipedia.org/wiki/Christian_Amanpour
Betty Ford,"BettyFord.jpg, Betty2.jpg",First Lady of the United States,Betty Ford was known both as a former First Lady and as the founder of the Betty Ford Clinic for substance abuse recovery.,http://en.wikipedia.org/wiki/Betty_Ford
Marie Curie,"Marie1.jpg, Marie2.jpg",Physicist & Chemist,"Marie Curie became the first woman to win a Nobel Prize and the only woman to win the award in two different fields (physics and chemistry). Curie's efforts led to the discovery of polonium and radium and, the development of X-ray.",http://en.wikipedia.org/wiki/Marie_Curie
Rachel Carson,"RachelCarson.jpg, RachelCarson1.jpg",Marine Biologist and Conservationist,"Biologist Rachel Carson alerted the world to the environmental impact of fertilizers and pesticides. Her best-known book, Silent Spring, led to a presidential commission that largely endorsed her findings and helped to shape a growing environmental consciousness.",http://en.wikipedia.org/wiki/Rachel_Carson
Martha Grahm,"MarthaGrahm.jpg, MarthaGrahm2.jpg, MarthaGrahm3.jpg",American Modern Dance Choreographer ,"Graham is called the Mother of Modern Dance. She was a dancer, choreographer, and teacher for more than 70 years, and during that time she changed the landscape of dance forever. An unlikely candidate for a dance diva, she was shorter and more muscular than the principal ballet dancers of her time. ",http://en.wikipedia.org/wiki/Martha_Graham
Hypatia,hypatia.jpg,Mathematician and Philosopher,"Know as the ancient world's most famous mathematician, philosopher, and astronomer. ",http://en.wikipedia.org/wiki/Hypatia
Lucille Ball,"Lucy1.jpg, Lucy2.jpg",Actress & Firrst Female Studio Owner,First woman in show business to own a film studio.,http://en.wikipedia.org/wiki/Lucy_Ball
Queen Rania of Jordan,,Queen consort of Jordan as the wife of King Abdullah II of Jordan.,,http://en.wikipedia.org/wiki/Queen_Rania
Julia Child ,JuliaChild.jpg,American Chef & Author,"American TV chef and author, Julia Child adapted sophisticated French cuisine for mainstream Americans, she collaborated on a two-volume cookbook called Mastering the Art of French Cooking, which was considered groundbreaking.",http://en.wikipedia.org/wiki/Julia_Child
Nancy Reagan,NancyReagan.jpg,First Lady of the United States," Nancy Reagan is a former first lady of the United States. She served as first lady of California before moving into the White House. Her major initiative was the ""Just Say No"" drug awareness campaign. ",http://en.wikipedia.org/wiki/Nancy_Reagan
Margaret Thatcher,,British Politician and Former Prime Minister of the United Kingdom,,http://en.wikipedia.org/wiki/Margaret_thatcher
Eleanor Roosevelt,Roosevelt1.jpg,First Lady of the United States," As First Lady, writer, and humanitarian, Eleanor was one of the most outspoken women in the White House. She carried a strong dedication to social and civic issues of her time. ",http://en.wikipedia.org/wiki/Eleanor_Roosevelt
